,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
0,10140490,HY329907,07-05-2015 23:50,050XX N NEWLAND AVE,820,THEFT,$500 AND UNDER,STREET,False,False,1613,16.0,41,10,6,1129230.0,1933315.0,2015,07-12-2015 12:42,41.97330947,-87.800175,(41.973309466
1,10139776,HY329265,07-05-2015 23:30,011XX W MORSE AVE,460,BATTERY,SIMPLE,STREET,False,True,2431,24.0,49,1,08B,1167370.0,1946271.0,2015,07-12-2015 12:42,42.00812402,-87.65955018,(42.008124017
2,10140270,HY329253,07-05-2015 23:20,121XX S FRONT AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,532,,9,53,08B,mean,mean,2015,07-12-2015 12:42,,,
3,10139885,HY329308,07-05-2015 23:19,051XX W DIVISION ST,610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,False,False,1531,15.0,37,25,5,1141721.0,1907465.0,2015,07-12-2015 12:42,41.90215203,-87.7548834,(41.902152027
4,10140379,HY329556,07-05-2015 23:00,012XX W LAKE ST,930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,False,False,1215,12.0,27,28,7,1168413.0,1901632.0,2015,07-12-2015 12:42,41.88561014,-87.6570087,(41.885610142
5,10140868,HY330421,07-05-2015 22:54,118XX S PEORIA ST,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,False,False,524,5.0,34,53,14,1172409.0,1826485.0,2015,07-12-2015 12:42,41.6793109,-87.64454521,(41.6793109
6,10139762,HY329232,07-05-2015 22:42,026XX W 37TH PL,1020,ARSON,BY FIRE,VACANT LOT/LAND,False,False,911,9.0,12,58,9,1159436.0,1879658.0,2015,07-12-2015 12:42,41.82550061,-87.69057804,(41.825500607
7,10139722,HY329228,07-05-2015 22:30,016XX S CENTRAL PARK AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,True,False,1021,10.0,24,29,18,1152687.0,1891389.0,2015,07-12-2015 12:42,41.85782781,-87.71502879,(41.857827814
8,10139774,HY329209,07-05-2015 22:15,048XX N ASHLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,2032,20.0,46,3,14,1164821.0,1932394.0,2015,07-12-2015 12:42,41.9700998,-87.66932438,(41.970099796
9,10139697,HY329177,07-05-2015 22:10,058XX S ARTESIAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,False,False,824,8.0,16,63,14,1160997.0,1865851.0,2015,07-12-2015 12:42,41.78758028,-87.68523308,(41.787580282
0,10498554,HZ239907,4/4/2016 23:56,007XX E 111TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,False,False,531,5.0,9,50,11,1183356.0,1831503.0,2016,5/11/2016 15:48,41.69283384,-87.60431945,"(41.692833841, -87.60431945)"
1,10516598,HZ258664,4/15/2016 17:00,082XX S MARSHFIELD AVE,890,THEFT,FROM BUILDING,RESIDENCE,False,False,614,6.0,21,71,6,1166776.0,1850053.0,2016,5/12/2016 15:48,41.74410697,-87.66449429,"(41.744106973, -87.664494285)"
2,10519196,HZ261252,4/15/2016 10:00,104XX S SACRAMENTO AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,2211,22.0,19,74,11,mean,mean,2016,5/12/2016 15:50,,,
3,10519591,HZ261534,4/15/2016 9:00,113XX S PRAIRIE AVE,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,False,False,531,5.0,9,49,10,mean,mean,2016,5/13/2016 15:51,,,
4,10534446,HZ277630,4/15/2016 10:00,055XX N KEDZIE AVE,890,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",False,False,1712,17.0,40,13,6,mean,mean,2016,5/25/2016 15:59,,,
5,10535059,HZ278872,4/15/2016 4:30,004XX S KILBOURN AVE,810,THEFT,OVER $500,RESIDENCE,False,False,1131,11.0,24,26,6,mean,mean,2016,5/25/2016 15:59,,,
6,10499802,HZ240778,4/15/2016 10:00,010XX N MILWAUKEE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,False,False,1213,12.0,27,24,11,mean,mean,2016,5/27/2016 15:45,,,
7,10522293,HZ264802,4/15/2016 16:00,019XX W DIVISION ST,1110,DECEPTIVE PRACTICE,BOGUS CHECK,RESTAURANT,False,False,1424,14.0,1,24,11,1163094.0,1908003.0,2016,5/16/2016 15:48,41.90320604,-87.67636193,"(41.903206037, -87.676361925)"
8,10523111,HZ265911,4/15/2016 8:00,061XX N SHERIDAN RD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,2433,24.0,48,77,11,mean,mean,2016,5/16/2016 15:50,,,
9,10525877,HZ268138,4/15/2016 15:00,023XX W EASTWOOD AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,1911,19.0,47,4,11,mean,mean,2016,5/18/2016 15:50,,,
0,10378283,HZ114126,1/10/2016 11:00,033XX W IRVING PARK RD,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,True,False,1724,17.0,33,16,5,1153593.0,1926401.0,2016,5/22/2016 15:51,41.95388599,-87.71077048,"(41.95388599, -87.710770479)"
1,10382154,HZ118288,1/10/2016 21:00,055XX S FRANCISCO AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,False,True,824,8.0,14,63,2,1157983.0,1867874.0,2016,6/1/2016 15:51,41.79319349,-87.69622926,"(41.793193489, -87.696229255)"
2,10374287,HZ110730,1/10/2016 11:50,043XX W ARMITAGE AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,True,2522,25.0,30,20,26,1146917.0,1912931.0,2016,6/7/2016 15:55,41.91705356,-87.73565764,"(41.917053561, -87.735657637)"
3,10374662,HZ110403,1/10/2016 1:30,073XX S CLAREMONT AVE,497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,STREET,False,True,835,8.0,18,66,04B,1162007.0,1855951.0,2016,2/4/2016 15:44,41.76039236,-87.68180481,"(41.760392356, -87.681804812)"
4,10374720,HZ110836,1/10/2016 7:30,079XX S RHODES AVE,890,THEFT,FROM BUILDING,OTHER,False,False,624,6.0,6,44,6,1181279.0,1852568.0,2016,2/4/2016 15:44,41.75068679,-87.61127681,"(41.75068679, -87.611276811)"
5,10375178,HZ110832,1/10/2016 14:20,057XX S KEDZIE AVE,460,BATTERY,SIMPLE,RESTAURANT,False,False,824,8.0,14,63,08B,1156029.0,1866379.0,2016,2/4/2016 15:44,41.78913051,-87.7034346,"(41.78913051, -87.703434602)"
6,10398695,HZ135279,1/10/2016 23:00,031XX S PARNELL AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,False,False,915,9.0,11,60,5,1173138.0,1884117.0,2016,2/4/2016 15:44,41.83744420000001,-87.64017699,"(41.837444199, -87.640176991)"
7,10402270,HZ138745,1/10/2016 11:00,051XX S ELIZABETH ST,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,934,9.0,16,61,5,mean,mean,2016,2/4/2016 6:53,,,
8,10380619,HZ116583,1/10/2016 9:41,091XX S PAXTON AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,True,True,413,4.0,7,48,26,1192434.0,1844707.0,2016,2/2/2016 15:56,41.72885134,-87.57065553,"(41.728851343, -87.570655525)"
9,10400131,HZ136171,1/10/2016 18:00,0000X W TERMINAL ST,810,THEFT,OVER $500,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,False,False,1651,16.0,41,76,6,mean,mean,2016,2/2/2016 15:58,,,
